AgentId,AgentName,CreatorType,PublishingSource
S_b0e0718850378dd54e6f529222c2105c,Workspace Assistant Alpha 0001,Your org,Other
S_b5cab02e32cdd17058ef8f7116a4099c,Knowledge Assistant Alpha 0002,Microsoft,Microsoft other
S_f08ed6c429e51d21d98edccec49417a1,Support Assistant Alpha 0003,User,Other
S_1a186c5440ce947ec0957537dae8c505,Planning Assistant Alpha 0004,Microsoft,Microsoft other
S_3b33a35ba2a10969f86c2686334a3b4d,Insight Assistant Alpha 0005,Microsoft,Microsoft other
S_871d5b976cf6bd5f2b38f49231f736de,Briefing Assistant Alpha 0006,User,Other
S_45ad2ab462f40091a7dad281e3039093,Research Assistant Alpha 0007,Microsoft,Microsoft other
S_94952c1ec3bd150b76b04e8b84a7cfaf,Drafting Assistant Alpha 0008,Microsoft,Microsoft other
S_7e351ff0088aec21971d6232566b4e6d,Operations Assistant Alpha 0009,Microsoft,Microsoft other
S_617a63b762b2f9db90ae39e61d2a3165,Service Assistant Alpha 0010,User,Other
S_830046c6656ba74cdc76eec74677a063,Learning Assistant Alpha 0011,Microsoft,Microsoft other
S_285bc7bedd2f35cfd41642bd0bc6cb9d,Feedback Assistant Alpha 0012,User,Other
S_e317a3653eebeb93c6990ceacb059f17,Project Assistant Alpha 0013,User,Other
S_794cd4838a7ff5024b2ebd918724e7a0,Policy Assistant Alpha 0014,User,Other
S_90b018b2abcda3b6a323d0a3e6bc6196,Customer Assistant Alpha 0015,User,Agent Builder
S_381e0592e26175aaba36be75b239cfdc,Finance Assistant Alpha 0016,Microsoft,Microsoft other
S_18d4802840d658fe66e23e2999ed48a3,People Assistant Alpha 0017,User,Microsoft Copilot Studio
S_344276fab74a84417e4d0e15f190d59b,Data Assistant Alpha 0018,Microsoft,Microsoft other
S_795e0c1b469c66c367609707cefbcf12,Process Assistant Alpha 0019,Your org,Other
S_f0f556df98dfe0159da5e0cf6516b642,Quality Assistant Alpha 0020,Microsoft,Microsoft other
S_1709889324d809c1a9bfab30872daa76,Comms Assistant Alpha 0021,User,Other
S_ea3d37e4d1ca4b00206a3417821413f4,Review Assistant Alpha 0022,Microsoft,Microsoft other
S_1d1fc7146adf2d1d47515f3f0a54ce66,Onboarding Assistant Alpha 0023,Microsoft,Microsoft other
S_44b6db0133df81cb9aad91ac04efe787,Reporting Assistant Alpha 0024,User,Other
S_d4232df2253519fb0339b349615906ee,Workspace Guide Alpha 0025,User,Agent Builder
S_151bf26c5a2e756119c5928ef13df0ba,Knowledge Guide Alpha 0026,User,Other
S_7e6c1e19d1762e352fa7bd20775853c5,Support Guide Alpha 0027,User,Agent Builder
S_2fc752447d938d1941f2fec8d5ebe803,Planning Guide Alpha 0028,Microsoft,Microsoft other
S_c8a3ef22db7b16a3519fb4e9699afe4c,Insight Guide Alpha 0029,Your org,Other
S_e5acce6a527bdac8b00e2a9af4125351,Briefing Guide Alpha 0030,User,Agent Builder
S_ad22107fb31440f0d9385969c9195e1a,Research Guide Alpha 0031,Microsoft,Microsoft other
S_7ab2e794121cd13d1914c8cda4b761e4,Drafting Guide Alpha 0032,User,Microsoft Copilot Studio
S_08e4a98f2f639eeada04fa16737fd64b,Operations Guide Alpha 0033,User,SharePoint
S_44217fc4c78910043a7cdb760310eac5,Service Guide Alpha 0034,User,Agent Builder
S_109464a4e197d767af221cfdba168cc2,Learning Guide Alpha 0035,Your org,Other
S_1999cf861adfb7781d718bce3eaecb68,Feedback Guide Alpha 0036,User,Other
S_feb39bf53a46fa7c0cc41e2706985e4b,Project Guide Alpha 0037,User,Agent Builder
S_2b99f376dc9b9b9cf67fe20eb7f913d3,Policy Guide Alpha 0038,User,Other
